Acc #,Games Attended,Seat Qty, Net Revenue , Most Common Section ,Region,Gender,Age
16503320,1,4, $117.14 , Defensive Ends ,North York (Lawrence),M,20
16603080,1,3, $87.86 , Defensive Ends ,North York (Lawrence),M,41
14607181,1,4, $133.33 , Defensive Ends ,Mississauga (West Cooksville / Fairview / City Centre / East Creditview),M,26
8041033,1,3, $100.00 , Defensive Ends ,Downtown Toronto (Central Bay St.),M,41
16131618,1,2, $30.48 , Family Zone ,Downtown Toronto (Central Bay St.),M,36
17851344,1,2, $66.67 , Defensive Ends ,East Toronto (Riverdale),M,29
16714919,1,4, $133.33 , Defensive Ends ,Downtown Toronto (Church & Wellesley),M,40
3604614,1,3, $87.86 , Defensive Ends ,Downtown Toronto (CN Tower),M,35
7371211,1,3, $128.57 , Attacking Corner ,East Toronto (Studio District),M,43
17509496,1,3, $100.00 , Defensive Ends ,Pickering (North),M,42
9230208,1,4, $133.33 , Defensive Ends ,Downtown Toronto (Harbourfront),M,30
16610781,1,3, $87.86 , Defensive Ends ,Scarborough (Cedarbrae),M,32
17343310,1,2, $110.95 , Blue Line ,Downtown Toronto (Central Bay St.),M,42
13212818,1,1, $29.29 , Defensive Ends ,East Toronto (Riverdale),M,42
6732655,1,4, $117.14 , Defensive Ends ,Scarborough (Birch Cliff),M,29
14277490,1,6, $175.71 , Defensive Ends ,Etobicoke (South Steeles),M,33
15908677,1,1, $42.86 , Attacking Corner ,Vaughan (Maple),M,41
2175866,1,2, $58.57 , Defensive Ends ,Scarborough (Malvern),M,29
8619032,1,5, $146.43 , Defensive Ends ,Downtown Toronto (Church & Wellesley),M,32
17831774,1,2, $85.71 , Attacking Corner ,Etobicoke (South Steeles),M,35
16193364,1,2, $58.57 , Defensive Ends ,Downtown Toronto (Central Bay St.),M,39
14411026,1,2, $77.14 , Attacking Ends ,Mississauga (Cardiff / NE Gateway),M,46
16241838,1,2, $58.57 , Defensive Ends ,North York (Lawrence),M,36
2573874,1,2, $66.67 , Defensive Ends ,Scarborough (Malvern),M,49
16438736,1,2, $58.57 , Defensive Ends ,Scarborough (STC),M,32
12261139,1,4, $117.14 , Defensive Ends ,Scarborough (Birch Cliff),M,43
8264210,1,5, $146.43 , Defensive Ends ,Downtown Toronto (Chinatown),M,27
6216115,1,2, $58.57 , Defensive Ends ,Downtown Toronto (Church & Wellesley),M,51
16149916,1,5, $146.43 , Defensive Ends ,West Toronto (High Park),M,38
13382381,1,2, $47.14 , Defensive Corner - Upper ,Downtown Toronto (Richmond/Adelaide/King),M,32
9166474,1,6, $91.43 , Family Zone ,Etobicoke (South Steeles),M,33
9403765,1,4, $60.95 , Family Zone ,Downtown Toronto (Garden District),M,14
13418875,1,2, $30.48 , Family Zone ,North York (Willowdale South),M,35
8384417,1,5, $76.19 , Family Zone ,West Toronto (Dufferin),M,33
16353254,1,5, $76.19 , Family Zone ,North York (Downsview West),M,22
6210614,1,6, $91.43 , Family Zone ,Scarborough (Malvern),M,22
10443616,1,3, $45.71 , Family Zone ,East York (Woodbine Heights),M,28
14482392,1,4, $60.95 , Family Zone ,Etobicoke (Rexdale),M,30
7357158,1,4, $60.95 , Family Zone ,Downtown Toronto (Cabbagetown),M,20
16314003,1,4, $60.95 , Family Zone ,North York (Downsview Central),M,44
10110312,1,4, $60.95 , Family Zone ,Downtown Toronto (Central Bay St.),M,25
16398106,1,4, $60.95 , Family Zone ,Scarborough (Golden Mile),M,45
13077114,1,6, $91.43 , Family Zone ,North York (Willowdale South),M,27
13141327,1,3, $45.71 , Family Zone ,North York (Hillcrest Village),M,52
1061382,1,2, $30.48 , Family Zone ,North York (Lawrence),M,32
14381435,1,5, $76.19 , Family Zone ,Scarborough (Tam O'Shanter),M,32
15405217,1,5, $76.19 , Family Zone ,West Toronto (Runnymede),M,24
872254,1,3, $96.43 , Attacking Corner - Upper ,Downtown Toronto (Garden District),M,14
17405212,1,2, $30.48 , Family Zone ,Hamilton (Confederation Park / Nashdale / East Kentley / Riverdale / Lakely / Grayside / North Stoney Creek),M,38
11642023,1,2, $30.48 , Family Zone ,Scarborough (Tam O'Shanter),M,24
17782391,1,4, $60.95 , Family Zone ,Milton (South),M,14
13269096,1,2, $58.57 , Defensive Ends ,Etobicoke (Eringate),M,35
13299759,1,2, $30.48 , Family Zone ,Pickering (Central),M,33
7719481,1,3, $45.71 , Family Zone ,York (Caledonia-Fairbanks),M,25
16850645,1,2, $149.05 , Club Platinum ,Downtown Toronto (Harbourfront),M,36
8462607,1,1, $15.24 , Family Zone ,Hamilton (Crerar / Bruleville / Hill Park / Inch Park / Centremount / Balfour / Greeningdon / Jerome),M,30
17014372,1,2, $47.62 , Family Zone ,West Toronto (Runnymede),M,14
7574560,1,5, $76.19 , Family Zone ,Downtown Toronto (CN Tower),M,50
14800420,1,3, $45.71 , Family Zone ,Scarborough (Kennedy Park),M,36
14134267,1,2, $30.48 , Family Zone ,North York (Don Mills),M,34
16060840,1,2, $30.48 , Family Zone ,North York (Hillcrest Village),M,27
8407702,1,3, $71.43 , Family Zone ,Mississauga (Central Lakeview),M,19
7210049,1,2, $47.62 , Family Zone ,Downtown Toronto (Church & Wellesley),M,27
17018096,1,5, $117.86 , Defensive Corner - Upper ,Downtown Toronto (Chinatown),M,37
11883356,1,4, $95.24 , Family Zone ,Etobicoke (Queensway),M,40
1140850,1,4, $154.29 , Attacking Corner ,West Toronto (Dufferin),M,24
1804401,1,1, $34.05 , Defensive Ends ,North York (Hillcrest Village),M,41
14662353,1,3, $198.57 , Club Gold ,Downtown Toronto (Harbourfront),M,30
13070620,1,4, $264.76 , Club Gold ,Scarborough (Kennedy Park),M,35
13785525,1,2, $128.10 , Club Glass ,West Toronto (High Park),M,19
17195333,1,4, $256.19 , Club Glass ,West Toronto (Brockton),M,24
17200624,1,2, $149.05 , Club Platinum ,Scarborough (Guildwood),M,47
8808819,1,1, $67.62 , Club Glass ,West Toronto (Runnymede),M,36
557864,1,4, $221.90 , Blue Line ,Scarborough (Kennedy Park),M,38
7434802,1,2, $110.95 , Blue Line ,North York (Fairview),M,26
14103408,1,3, $166.43 , Blue Line ,Downtown Toronto (CN Tower),M,37
13500012,1,6, $332.86 , Blue Line ,Scarborough (Golden Mile),M,20
8046580,1,2, $110.95 , Blue Line ,North York (Fairview),M,35
13256620,1,2, $110.95 , Blue Line ,Downtown Toronto (St. James Town),M,14
1745947,1,6, $142.86 , Family Zone ,Mississauga (Malton),M,32
1871558,1,2, $110.95 , Blue Line ,North York (Downsview Central),M,14
3757088,1,2, $110.95 , Blue Line ,Scarborough (Golden Mile),M,32
14663685,1,2, $156.19 , Club Rinkside ,Caledon (Caledon East),M,30
17905868,1,5, $119.05 , Family Zone ,Central Toronto (Yorkville),M,39
16482539,1,1, $29.29 , Defensive Ends ,East Toronto (Riverdale),M,24
8797679,1,2, $47.62 , Family Zone ,Richmond Hill (Oak Ridges / Lake Wilcox / Temperanceville),M,33
13384785,1,5, $119.05 , Family Zone ,Brampton (West),M,39
11049978,1,2, $53.33 , Defensive Corner - Upper ,West Toronto (Runnymede),M,40
6512849,1,1, $23.81 , Family Zone ,Downtown Toronto (Richmond/Adelaide/King),M,34
16226173,1,1, $23.57 , Defensive Corner - Upper ,Etobicoke (Queensway),M,45
16578834,1,1, $29.29 , Defensive Ends ,West Toronto (High Park),M,23
8604773,1,2, $47.62 , Family Zone ,Hamilton (Waterdown),M,38
14208345,1,3, $108.57 , Attacking Corner - Upper ,North York (Downsview Northeast),M,32
13977121,1,2, $190.48 , Premium ,Downtown Toronto (Christie),M,37
17930646,1,2, $156.19 , Club Rinkside ,Markham (Outer Southwest),M,40
4728993,1,2, $149.05 , Club Rinkside ,Scarborough (Woburn),M,49
6886514,1,2, $30.48 , Family Zone ,Scarborough (Woburn),M,39
10818464,1,7, $233.33 , Defensive Ends ,"Markham (Armadale, Ontario / Milliken, Ontario)",M,34
6266014,1,14," $1,750.00 ", Premium ,North York (Hillcrest Village),M,25
14202948,1,1, $15.24 , Family Zone ,Brampton (North),M,27
16225232,1,2, $47.14 , Defensive Corner - Upper ,Downtown Toronto (U of T),M,42
14115163,1,3, $70.71 , Defensive Corner - Upper ,North York (Downsview Northeast),M,36
17811527,1,1, $26.67 , Defensive Corner - Upper ,Newmarket (Northeast),M,62
14160638,1,4, $94.29 , Defensive Corner - Upper ,Downtown Toronto (CN Tower),M,33
4059258,1,2, $47.14 , Defensive Corner - Upper ,West Toronto (Runnymede),M,28
13026802,1,2, $47.14 , Defensive Corner - Upper ,Etobicoke (South Steeles),M,28
13030698,1,4, $94.29 , Defensive Corner - Upper ,Downtown Toronto (Harbourfront),M,43
10221103,1,2, $58.57 , Defensive Ends ,West Toronto (Parkdale),M,43
3860808,1,3, $70.71 , Defensive Corner - Upper ,North York (Downsview Central),M,39
13487713,1,2, $47.14 , Defensive Corner - Upper ,Scarborough (Golden Mile),M,25
16459797,1,2, $47.14 , Defensive Corner - Upper ,Scarborough (Malvern),M,18
10105601,1,2, $47.14 , Defensive Corner - Upper ,East Toronto (Studio District),M,45
14382514,1,6, $141.43 , Defensive Corner - Upper ,Scarborough (Woburn),M,19
9579642,1,1, $32.14 , Attacking Corner - Upper ,North York (Willowdale South),M,35
13076888,1,4, $94.29 , Defensive Corner - Upper ,North York (Downsview Central),M,26
13807098,1,4, $94.29 , Defensive Corner - Upper ,Scarborough (Malvern),M,32
10299264,1,3, $70.71 , Defensive Corner - Upper ,Downtown Toronto (Richmond/Adelaide/King),M,45
13388828,1,1, $26.67 , Defensive Corner - Upper ,Mississauga (YYZ),M,19
10804443,1,2, $149.05 , Club Platinum ,North York (Hillcrest Village),M,36
13581580,1,4, $94.29 , Defensive Corner - Upper ,East York (Woodbine Heights),M,37
13212341,1,4, $94.29 , Defensive Corner - Upper ,Port Hope,M,36
9235152,1,3, $70.71 , Defensive Corner - Upper ,Downtown Toronto (Cabbagetown),M,35
16929853,1,4, $94.29 , Defensive Corner - Upper ,Downtown Toronto (Christie),M,40
13790421,1,1, $23.57 , Defensive Corner - Upper ,Downtown Toronto (Central Bay St.),M,26
17928286,1,2, $117.14 , Blue Line ,Downtown Toronto (Church & Wellesley),M,42
17447132,1,2, $58.57 , Defensive Ends ,North York (Hillcrest Village),M,44
13657284,1,2, $47.14 , Defensive Corner - Upper ,Mississauga (Malton),M,52
17043504,1,9, $212.14 , Defensive Corner - Upper ,Etobicoke (South Steeles),M,23
17277556,1,2, $53.33 , Defensive Corner - Upper ,Downtown Toronto (St. James Town),M,40
3296333,1,2, $53.33 , Defensive Corner - Upper ,Etobicoke (Queensway),M,33
10260115,1,2, $66.67 , Defensive Ends ,West Toronto (Parkdale),M,39
11034148,1,3, $70.71 , Defensive Corner - Upper ,Brampton (North),M,18
14034755,1,2, $47.14 , Defensive Corner - Upper ,Midland,M,46
16520309,1,2, $47.14 , Defensive Corner - Upper ,Scarborough (Birch Cliff),M,42
16607282,1,3, $87.86 , Defensive Ends ,North York (Downsview Northeast),M,26
6657743,1,3, $45.71 , Family Zone ,North York (Willowdale South),M,40
13386539,1,4, $60.95 , Family Zone ,Downtown Toronto (Garden District),M,14
6341707,1,2, $47.14 , Defensive Corner - Upper ,Downtown Toronto (U of T),M,31
13990772,1,4, $60.95 , Family Zone ,Scarborough (Tam O'Shanter),M,37
16687775,1,4, $60.95 , Family Zone ,Etobicoke (Rexdale),M,45
17082153,1,2, $30.48 , Family Zone ,East York (Woodbine Heights),M,35
16310741,1,2, $30.48 , Family Zone ,Scarborough (Woburn),M,14
14740022,1,4, $60.95 , Family Zone ,Downtown Toronto (Chinatown),M,21
17340384,1,7, $106.67 , Family Zone ,North York (Lawrence),M,51
11104978,1,8, $121.90 , Family Zone ,North York (Downsview West),M,42
11533064,1,4, $60.95 , Family Zone ,West Toronto (Brockton),M,34
