Event Name,Game Day,Game Day of Wk,Section,Row,Seat Qty,Acc #,Sale Date,Section Name,Promo Code,Comp,Current Block Price,Sale Day,Net Revenue,,
TML1028,2023-10-28,Sat,103,12,3,15925998,2023-10-17,Family Zone,,N,48.00,Tue,45.71,,
TML1028,2023-10-28,Sat,103,16,2,12991414,2023-08-31,Family Zone,,N,32.00,Thu,30.48,,
TML1028,2023-10-28,Sat,103,17,2,14104198,2023-10-02,Family Zone,,N,32.00,Mon,30.48,,
TML1028,2023-10-28,Sat,103,18,12,4537969,2023-10-06,Family Zone,,N,192.00,Fri,182.86,,
TML1028,2023-10-28,Sat,103,13,2,13706152,2023-08-30,Family Zone,,N,32.00,Wed,30.48,,
TML1028,2023-10-28,Sat,103,10,5,4677494,2023-08-30,Family Zone,,N,80.00,Wed,76.19,,
TML1028,2023-10-28,Sat,103,13,3,9168551,2023-09-30,Family Zone,,N,48.00,Sat,45.71,,
TML1028,2023-10-28,Sat,103,20,4,15934488,2023-10-17,Family Zone,,N,64.00,Tue,60.95,,
TML1028,2023-10-28,Sat,103,7,2,6786209,2023-08-30,Family Zone,,N,32.00,Wed,30.48,,
TML1028,2023-10-28,Sat,103,10,1,15852554,2023-10-21,Family Zone,,N,16.00,Sat,15.24,,
TML1028,2023-10-28,Sat,103,9,2,15773862,2023-10-18,Family Zone,,N,32.00,Wed,30.48,,
TML1028,2023-10-28,Sat,103,7,2,7598770,2023-10-18,Family Zone,,N,32.00,Wed,30.48,,
TML1028,2023-10-28,Sat,103,7,2,13304334,2023-10-16,Family Zone,,N,32.00,Mon,30.48,,
TML1028,2023-10-28,Sat,103,18,1,11445757,2023-10-11,Family Zone,,N,16.00,Wed,15.24,,
TML1028,2023-10-28,Sat,103,18,1,11445757,2023-10-11,Family Zone,,N,16.00,Wed,15.24,,
TML1028,2023-10-28,Sat,103,18,4,15853217,2023-10-07,Family Zone,,N,64.00,Sat,60.95,,
TML1028,2023-10-28,Sat,103,18,2,15852554,2023-10-07,Family Zone,,N,32.00,Sat,30.48,,
TML1028,2023-10-28,Sat,103,19,3,4405756,2023-10-06,Family Zone,,N,48.00,Fri,45.71,,
TML1028,2023-10-28,Sat,103,16,2,15964579,2023-09-29,Family Zone,,N,32.00,Fri,30.48,,
TML1028,2023-10-28,Sat,103,17,2,15657018,2023-09-16,Family Zone,,N,32.00,Sat,30.48,,
TML1028,2023-10-28,Sat,103,8,2,14226400,2023-09-02,Family Zone,,N,32.00,Sat,30.48,,
TML1028,2023-10-28,Sat,103,13,4,1477169,2023-08-30,Family Zone,,N,63.56,Wed,60.53,,
TML1028,2023-10-28,Sat,103,8,3,13720749,2023-08-30,Family Zone,,N,48.00,Wed,45.71,,
TML1028,2023-10-28,Sat,103,8,4,13046879,2023-08-30,Family Zone,,N,64.00,Wed,60.95,,
TML1028,2023-10-28,Sat,103,8,1,11771829,2023-10-23,Family Zone,,N,16.00,Mon,15.24,,
